90	兵庫県	株式会社デューイ	五代 友則	https://dewey.co.jp/	https://dewey.co.jp/contact			
91	兵庫県	株式会社六甲商会	和田 英剛	https://www.rokko-gr.com/case	https://rokko-gr.smktg.jp/public/application/add/31		×	営業活動
92	兵庫県	合同会社アタラクシア	梶原　静二	https://atrxa.co.jp/	https://atrxa.co.jp/contact/			
93	兵庫県	株式会社Rit2	中村 真	http://rit2.com/service.html	http://rit2.com/mail.html			
94	兵庫県	株式会社ハイファイブ	藤原 秀樹	http://www.hi5.jp/works/	http://www.hi5.jp/contact/			
95	兵庫県	Storyboard	浦本 マサキ	https://storyboard.jp/work/work_index.html	https://storyboard.jp/contact.html			
96	兵庫県	有限会社創報堂	乗船 人保	https://www.souhoudou.jp/products/	https://www.souhoudou.jp/inquiry/			
97	兵庫県	合同会社ウェブタ	村上 健太	https://www.reserven.jp/case				
98	兵庫県	シンカーデザイン		https://www.sincar.jp/works/	https://www.sincar.jp/contact/			
99	兵庫県	株式会社マグネット	奥谷 奈津子	http://1982mag.net/works/	https://1982mag.net#contact			
100	兵庫県	ベルシア	鳥越 慎司	http://belsia.com/project/	https://www.hugeDomains.com/contact.cfm			
101	兵庫県	ハピネスシェア	三木 一	http://www.happiness-share.net/	http://www.happiness-share.net/contact.html			
102	兵庫県	CRAFT STUDIO SORA	福地　正二郎	https://cssora.net/	https://cssora.net/contact.html			
103	兵庫県	株式会社HARMONY	三井 健司	http://www.harmony-corp.co.jp/works/	https://www.harmony-corp.co.jp/contact/index.php			
104	兵庫県	ポポデザイン株式会社	恋田 衣里	https://popo-design.net/works/	https://popo-design.net/contact/		×	お断りしております
105	兵庫県	汐先デザインファクトリー	汐先 雄治	http://shio40.net/	https://shio40.net/cont/			
106	兵庫県	株式会社コンタクト	刑部 建志	http://www.contact.co.jp/	http://www.contact.co.jp/#container			
107	兵庫県	ディオス	井口 勝利	http://dio-s.com/index.html	http://dio-s.com/form.html			
108	兵庫県	株式会社だいずらぼ	脇本 雅也	https://www.daizu-lab.jp/service/webproduction/	https://www.daizu-lab.jp/contact/			
